STATEFP10,COUNTYFP10,Total,LON*POP,LAT*POP,LON,LAT
1,1,54571,-4720074.230400693,1773578.7478593984,-86.4941861135162,32.50038936173789
1,3,182265,-15996025.829265544,5567999.5013922965,-87.76246580125392,30.54892327870023
1,5,27457,-2342354.7335976027,874341.7167451992,-85.30992947509206,31.844036739090186
1,7,22915,-1996530.2281889003,756903.5649803992,-87.12765560501421,33.03092144797727
1,9,57322,-4963592.309947306,1946382.4804336969,-86.59140138074923,33.95524371853209
1,11,10914,-935342.8629500004,350517.5963104997,-85.70119689847905,32.11632731450428
1,13,20947,-1815131.1053840998,665560.3223257004,-86.65351149969445,31.773539042617106
1,15,118572,-10175778.421234475,3998895.274141595,-85.81940442292004,33.725460261626644
1,17,34215,-2917393.9472908014,1124319.943325102,-85.26651899140147,32.860439670469155
1,19,25989,-2225417.2148005,888286.6934475009,-85.62919753743891,34.17933331207438
1,21,43643,-3783300.0781671,1434874.7913725975,-86.68744307602822,32.877547175322455
1,23,13859,-1223252.1804871005,443717.54566829966,-88.2641013411574,32.01656293154626
1,25,25833,-2268541.1770875985,818536.3016006999,-87.81563028249133,31.685685038543717
1,27,13932,-1195646.5333543974,463551.2482440007,-85.8201646105654,33.27241230577093
1,29,14972,-1280020.6743682004,503504.9306642008,-85.49430098638794,33.629770950053484
1,31,49948,-4290769.8822774,1566091.2284613026,-85.90473857366463,31.354433179732965
1,33,54428,-4772527.3988378085,1889924.4081954998,-87.68515100385477,34.723385172989985
1,35,13228,-1150789.2967017991,415606.2249630997,-86.99646936058353,31.41867439999241
1,37,11539,-994143.0697312999,380509.2879862004,-86.1550454745905,32.975932748609104
1,39,37765,-3263311.067062907,1181381.7002802016,-86.41099078678423,31.282449365290656
1,41,13906,-1200047.5659017,441424.9370907003,-86.29710670945634,31.74348749393789
1,43,80406,-6981799.032516702,2746858.948552403,-86.83181643803573,34.16236286536332
1,45,50251,-4303558.965989499,1577044.5274384003,-85.64126019361805,31.38334615108954
