COUNTYPAIR_ID,STATE_FIPS1,GEOID10_FIPS1,STATE_FIPS2,GEOID10_FIPS2,distance_FIPS1,distance_FIPS2
01003-12033,01,01003,12,12033,0.301000187343067,0.10231784744677475
01005-13239,01,01005,13,13239,0.16815033192125184,0.04928061723971584
01017-13145,01,01017,13,13145,0.08168303314311956,0.23871395386240318
01019-13233,01,01019,13,13233,0.22955751022880225,0.22691603339380262
01023-28023,01,01023,28,28023,0.1923212665593397,0.27612170524862245
01023-28153,01,01023,28,28153,0.24246759007308233,0.20071256800456228
01029-13045,01,01029,13,13045,0.1578074486208161,0.2819521482510694
01029-13143,01,01029,13,13143,0.15764129397948856,0.17085385511468726
01039-12091,01,01039,12,12091,0.28809063897592174,0.4520925466315184
01039-12131,01,01039,12,12131,0.2891330834127795,0.4102977049792841
01049-13055,01,01049,13,13055,0.31110347880992467,0.17180778801831817
01053-12033,01,01053,12,12033,0.09040953017439676,0.5124239766716
01053-12091,01,01053,12,12091,0.5047230512709483,0.4676615758656369
01053-12113,01,01053,12,12113,0.14895222979063946,0.44959957189865174
01059-28057,01,01059,28,28057,0.3627296883009715,0.2308462396666543
01061-12059,01,01061,12,12059,0.09976412305597276,0.14706904578275762
01061-12131,01,01061,12,12131,0.26609075373747726,0.4102060198691318
01067-13061,01,01067,13,13061,0.22553236050973732,0.046533060836771056
01067-13099,01,01067,13,13099,0.1974164792310828,0.16717717495120868
01069-12063,01,01069,12,12063,0.20602539076356666,0.20057614567056292
01069-13253,01,01069,13,13253,0.3849393611249735,0.13675444128690645
01071-13083,01,01071,13,13083,0.3778863371640598,0.08880278314538288
01075-28087,01,01075,28,28087,0.14038237702734874,0.11952420958633651
01077-28141,01,01077,28,28141,0.48982738096798073,0.2054992534832092
01081-13215,01,01081,13,13215,0.26581721274149284,0.07262047852162062
01093-28095,01,01093,28,28095,0.3305203347289028,0.3196027352952896
01097-28039,01,01097,28,28039,0.24743361695929145,0.17334993501403187
01097-28059,01,01097,28,28059,0.2392147173089481,0.2614378729981453
01107-28103,01,01107,28,28103,0.2380682918032891,0.22438202908865598
01111-13149,01,01111,13,13149,0.16336590532327858,0.1546553361066089
01113-13259,01,01113,13,13259,0.22297804875241486,0.221495160963276
01119-28069,01,01119,28,28069,0.1554243596425898,0.30830987903589163
01119-28075,01,01119,28,28075,0.1562165455808046,0.27921034999566896
01129-28041,01,01129,28,28041,0.2616468744372077,0.18975042351264843
04001-35003,04,04001,35,35003,1.0643774414035279,0.49810498699386346
04001-35006,04,04001,35,35006,0.7198715814738922,1.2508234239918756
04001-35031,04,04001,35,35031,0.368685995225149,0.4124860835231568
04011-35017,04,04011,35,35017,0.20171369359224398,0.804392060547528
04011-35023,04,04011,35,35023,0.2790536811550495,0.31877192725510195
04012-06025,04,04012,06,06025,0.6575385809936379,0.8637390442871075
04012-06065,04,04012,06,06065,0.2895148252926208,2.4668269393511926
04015-06071,04,04015,06,06071,0.3891634537851218,2.806835137729815
04015-32003,04,04015,32,32003,0.33188999814017034,0.39951012649889106
04027-06025,04,04027,06,06025,0.08024924436434065,0.8240852142889619
05003-22067,05,05003,22,22067,0.17168796909564532,0.22122738385533197
05007-40001,05,05007,40,40001,0.3757043233526537,0.23039840876585654
05017-22035,05,05017,22,22035,0.32125627596150647,0.23339441750992634
05017-22067,05,05017,22,22067,0.3368469632442485,0.47901244494328954
05017-22123,05,05017,22,22123,0.3162667247643312,0.18953915644125788
05017-28151,05,05017,28,28151,0.1363940227907369,0.07144588604156835
05027-22027,05,05027,22,22027,0.2402160418522512,0.18391220222409876
05027-22119,05,05027,22,22119,0.2401357499806453,0.31822878058922566
05033-40135,05,05033,40,40135,0.1628668003265736,0.2841464894521884
05035-28033,05,05035,28,28033,0.2036361451811231,0.2877890028902833
05035-28143,05,05035,28,28143,0.3285680068963101,0.13664407274314097
05041-28011,05,05041,28,28011,0.21027985862987641,0.21347183725190405
05073-22015,05,05073,22,22015,0.2688305231045652,0.4635736530574303
05073-22119,05,05073,22,22119,0.27147634610160937,0.35169183506042506
05077-28143,05,05077,28,28143,0.21361744676005046,0.10868515156344949
05081-48037,05,05081,48,48037,0.10652740017778488,0.11897718201888449
05091-22017,05,05091,22,22017,0.3813556794071698,0.5474678382731734
05091-48067,05,05091,48,48067,0.14095454652407854,0.2562188753784503
05093-47097,05,05093,47,47097,0.1151843993161938,0.16523923173670793
05093-47157,05,05093,47,47157,0.4482883705536642,0.3019665091055508
05093-47167,05,05093,47,47167,0.2816873841990547,0.1652439568408359
05107-28027,05,05107,28,28027,0.12481217062465422,0.13047470459980517
05113-40089,05,05113,40,40089,0.2031060057596776,0.39417577911666646
05131-40079,05,05131,40,40079,0.07945677546830524,0.19784200714549005
05139-22027,05,05139,22,22027,0.20829879800006162,0.18902960768757002
05139-22111,05,05139,22,22111,0.19302670694796417,0.21670333196792338
05143-40001,05,05143,40,40001,0.3729093959105881,0.11891923046767432
06027-32003,06,06027,32,32003,2.7023261956433235,0.6000890180255943
06049-32031,06,06049,32,32031,0.651957872002411,1.661039064646826
06051-32009,06,06051,32,32009,0.5593018070761252,0.28814178411881136
06061-32005,06,06061,32,32005,1.2005616509977144,0.2701445722873572
06061-32510,06,06061,32,32510,1.2088277415665896,0.2505610541218807
06071-04012,06,06071,04,04012,2.923864209758256,0.2740202006476924
06075-06001,06,06075,06,06001,0.1050854746245387,0.18127051744501863
06075-06041,06,06075,06,06041,0.07759403211866428,0.12814050710958566
06075-06081,06,06075,06,06081,0.051283465874231556,0.14435047272800067
08007-35039,08,08007,35,35039,0.24007900123847156,0.8375942816044951
08007-35045,08,08007,35,35045,0.4128904412053332,0.7893648215682676
08009-20129,08,08009,20,20129,0.4852478039927477,0.20380731707472982
08009-35059,08,08009,35,35059,0.6010220656554952,0.5725094351821847
08009-40025,08,08009,40,40025,0.37334934933797115,0.2657144466900027
08017-20071,08,08017,20,20071,0.4294196808972878,0.3094101742739163
08021-35039,08,08021,35,35039,0.20108201825094907,0.7931220075133071
08021-35055,08,08021,35,35055,0.20024356919833758,0.5728849348653969
08023-35007,08,08023,35,35007,0.3661507448713437,0.5897588647950311
08023-35055,08,08023,35,35055,0.28589013055248136,0.5624018887498367
08045-49019,08,08045,49,49019,1.5119865484926907,0.9306012261207972
08063-20181,08,08063,20,20181,0.3871796630810587,0.3225130728230959
08063-20199,08,08063,20,20199,0.4268298808369852,0.3228468272091637
08067-35045,08,08067,35,35045,0.2651958636454173,0.27718388923749965
08071-35007,08,08071,35,35007,0.20277443568762957,0.29076768555135524
08071-35059,08,08071,35,35059,0.5342526288167939,0.5439759413819689
08081-49009,08,08081,49,49009,1.4303465754446565,0.5963994675755306
08081-49047,08,08081,49,49047,1.4243897859456132,0.5462002867449489
08083-35045,08,08083,35,35045,0.3715487695381608,0.3197372575058886
08085-49037,08,08085,49,49037,1.1256867126572085,0.7904852567120052
08095-31029,08,08095,31,31029,0.33589512753190875,0.4316333160240044
08099-20075,08,08099,20,20075,0.5026762127415443,0.2767670945511259
08099-20187,08,08099,20,20187,0.611657050875094,0.295825562763104
08125-20023,08,08125,20,20023,0.4403162454424038,0.3120217504227012
08125-31057,08,08125,31,31057,0.43519363480661594,0.4502864370870572
09001-36079,09,09001,36,36079,0.24004519048132694,0.17569503965374098
09001-36119,09,09001,36,36119,0.11835633147439914,0.0973847497146675
09011-44009,09,09011,44,44009,0.23472920627580077,0.2054827155106295
09015-44003,09,09015,44,44003,0.22021322432023055,0.3006849694835848
09015-44007,09,09015,44,44007,0.20214158716100714,0.3439074854021318
10001-24011,10,10001,24,24011,0.1869131426431274,0.1048183660128048
10001-24035,10,10001,24,24035,0.19018659362739948,0.41802094009587076
10003-24015,10,10003,24,24015,0.15428215182733368,0.15038341047792603
10003-24029,10,10003,24,24029,0.3347076459186591,0.3028268071878443
10003-34033,10,10003,34,34033,0.09240609706643872,0.13472575754337932
10005-24019,10,10005,24,24019,0.3617713903371633,0.306407627786091
10005-24045,10,10005,24,24045,0.21031117319490672,0.08498081172762109
10005-24047,10,10005,24,24047,0.21042277319351718,0.14932597604809988
11001-51013,11,11001,51,51013,0.04626132907149422,0.03169316640328649
11001-51510,11,11001,51,51510,0.07668759926591127,0.049327154857654404
12079-12047,12,12079,12,12047,0.18657933671186863,0.20431379562665106
13027-12065,13,13027,12,12065,0.20382644550783777,0.21010296790014346
13027-12079,13,13027,12,12079,0.194145588382137,0.16865213137559062
13033-45005,13,13033,45,45005,0.3845166890919778,0.25481936816939965
13039-12089,13,13039,12,12089,0.06585366444222576,0.11420435599889006
13045-01111,13,13045,01,01111,0.29480586979369444,0.21653971447373915
