DATE,JTSTSR
2001-01-01,12.6
2001-04-01,12.2
2001-07-01,12.1
2001-10-01,11.8
2002-01-01,11.3
2002-04-01,11.2
2002-07-01,11.4
2002-10-01,11.0
2003-01-01,11.2
2003-04-01,10.8
2003-07-01,10.8
2003-10-01,10.9
2004-01-01,11.1
2004-04-01,11.0
2004-07-01,11.1
2004-10-01,11.2
2005-01-01,11.5
2005-04-01,11.4
2005-07-01,11.6
2005-10-01,11.3
2006-01-01,11.4
2006-04-01,11.6
2006-07-01,11.4
2006-10-01,11.5
2007-01-01,11.4
2007-04-01,11.3
2007-07-01,11.5
2007-10-01,11.1
2008-01-01,11.1
2008-04-01,11.0
2008-07-01,10.8
2008-10-01,10.8
2009-01-01,10.8
2009-04-01,10.0
2009-07-01,9.6
2009-10-01,9.4
2010-01-01,9.3
2010-04-01,9.3
2010-07-01,9.5
2010-10-01,9.3
2011-01-01,9.3
2011-04-01,9.4
2011-07-01,9.6
2011-10-01,9.4
2012-01-01,9.5
2012-04-01,9.8
2012-07-01,9.3
2012-10-01,9.4
2013-01-01,9.4
2013-04-01,9.8
2013-07-01,9.9
2013-10-01,9.6
2014-01-01,9.8
2014-04-01,9.9
2014-07-01,10.2
2014-10-01,10.2
2015-01-01,10.5
2015-04-01,10.4
2015-07-01,10.6
2015-10-01,10.6
2016-01-01,10.9
2016-04-01,10.7
2016-07-01,10.5
2016-10-01,10.5
2017-01-01,10.8
2017-04-01,10.8
2017-07-01,10.9
2017-10-01,10.7
2018-01-01,10.9
2018-04-01,11.1
2018-07-01,11.1
2018-10-01,11.3
2019-01-01,11.2
2019-04-01,11.2
2019-07-01,11.3
2019-10-01,11.2
2020-01-01,17.2
2020-04-01,14.4
2020-07-01,10.2
